Class,tp,fp,fn,p,r,f1
"Start time",1,0,19,100.0,5.0,9.523809523809524
"Original network",2,0,8,100.0,20.0,33.333333333333336
"Claimed by",0,0,6,0,0,0
"Residence",0,0,8,0,0,0
"Ethnic group",0,1,14,0,0,0
"Opposite",4,4,60,50.0,6.25,11.11111111111111
"Basin country",0,0,15,0,0,0
"Shareholder of",48,4,16,92.3076923076923,75.0,82.75862068965516
"Role",126,136,485,48.091603053435115,20.621931260229132,28.865979381443303
"Origin",14,24,88,36.8421052631579,13.72549019607843,20.0
"Head of government",3,8,32,27.272727272727273,8.571428571428571,13.043478260869566
"Composer",4,2,14,66.66666666666667,22.22222222222222,33.333333333333336
"Located in",1395,381,825,78.54729729729729,62.83783783783784,69.81981981981981
"Used for",8,23,230,25.806451612903224,3.361344537815126,5.947955390334572
"Original language of work",0,1,8,0,0,0
"Contains location",3512,382,306,90.19003595274782,91.98533263488737,91.07883817427386
"Topic",1,6,36,14.285714285714286,2.7027027027027026,4.545454545454546
"Languages spoken, written or signed",1,2,25,33.333333333333336,3.8461538461538463,6.896551724137931
"Neighborhood",333,15,41,95.6896551724138,89.03743315508021,92.24376731301938
"Parent taxon",2,2,2,50.0,50.0,50.0
"General affiliation",2,31,111,6.0606060606060606,1.7699115044247788,2.73972602739726
"Employer",13,8,28,61.904761904761905,31.70731707317073,41.935483870967744
"Part of",36,59,391,37.89473684210526,8.430913348946136,13.793103448275863
"Sister city",0,0,0,0,0,0
"Physical",98,66,351,59.75609756097561,21.826280623608017,31.97389885807504
"Nationality",488,95,58,83.704974271012,89.37728937728937,86.44818423383525
"Place lived",420,128,176,76.64233576642336,70.46979865771812,73.42657342657344
"Publication date",56,27,102,67.46987951807229,35.44303797468354,46.47302904564315
"Founded in",17,10,17,62.96296296296296,50.0,55.73770491803279
"Profession",0,0,0,0,0,0
"Follows",6,7,29,46.15384615384615,17.142857142857142,24.999999999999996
"Capital",643,34,41,94.97784342688331,94.00584795321637,94.48934606906685
"Performer",26,28,47,48.148148148148145,35.61643835616438,40.94488188976378
"Series",0,0,20,0,0,0
"Publisher",4,4,24,50.0,14.285714285714286,22.22222222222222
"Compare",1,4,36,20.0,2.7027027027027026,4.761904761904762
"Operator",0,3,18,0,0,0
"Religion",4,3,29,57.142857142857146,12.121212121212121,20.0
"Feature of ",0,0,0,0,0,0
"Industry",0,0,0,0,0,0
"Legislative body",5,13,20,27.77777777777778,20.0,23.25581395348837
"Contains adminstrative territorial entity",108,107,204,50.23255813953488,34.61538461538461,40.98671726755217
"Present in work",3,4,31,42.857142857142854,8.823529411764707,14.634146341463415
"Social",7,16,40,30.434782608695652,14.893617021276595,20.0
"Artifact",131,62,158,67.87564766839378,45.32871972318339,54.356846473029044
"Creator",0,7,10,0,0,0
"Manufacturer",0,0,9,0,0,0
"Unemployment rate",0,0,0,0,0,0
"Spouse",7,16,29,30.434782608695652,19.444444444444443,23.72881355932203
"Named",13,7,177,65.0,6.842105263157895,12.380952380952383
"Instance of",0,1,14,0,0,0
"Inception",24,11,87,68.57142857142857,21.62162162162162,32.87671232876712
"Dissolved, abolished or demolished",1,0,15,100.0,6.25,11.764705882352942
"Influenced by",0,0,2,0,0,0
"Mouth of the watercourse",4,1,13,80.0,23.529411764705884,36.36363636363637
"Developer",7,3,42,70.0,14.285714285714286,23.72881355932203
"Position held",1,0,2,100.0,33.333333333333336,50.0
"Notable work",101,127,150,44.29824561403509,40.2390438247012,42.17118997912318
"Country of citizenship",65,52,227,55.55555555555556,22.26027397260274,31.78484107579462
"Date of birth",72,27,87,72.72727272727273,45.283018867924525,55.81395348837209
"End time",0,1,12,0,0,0
"Lyrics by",2,0,9,100.0,18.181818181818183,30.76923076923077
"Win defeat",78,55,83,58.64661654135338,48.4472049689441,53.06122448979591
"Organization based in",40,6,55,86.95652173913044,42.10526315789474,56.73758865248227
"ALL",9563,2915,8119,76.63888443660844,54.08324850130076,63.41511936339524

