Class,tp,fp,fn,p,r,f1
"Spouse",2,1,34,66.66666666666667,5.555555555555555,10.256410256410255
"Named",2,12,188,14.285714285714286,1.0526315789473684,1.9607843137254901
"Instance of",0,0,14,0,0,0
"Inception",1,0,110,100.0,0.9009009009009009,1.7857142857142856
"Dissolved, abolished or demolished",0,0,16,0,0,0
"Influenced by",0,0,2,0,0,0
"Mouth of the watercourse",0,0,17,0,0,0
"Developer",0,0,49,0,0,0
"Position held",0,0,3,0,0,0
"Notable work",1,21,250,4.545454545454546,0.398406374501992,0.7326007326007327
"Country of citizenship",1,4,291,20.0,0.3424657534246575,0.6734006734006733
"Date of birth",4,5,155,44.44444444444444,2.5157232704402515,4.761904761904762
"End time",0,0,12,0,0,0
"Lyrics by",0,0,11,0,0,0
"Win defeat",13,17,148,43.333333333333336,8.074534161490684,13.61256544502618
"Organization based in",30,7,65,81.08108108108108,31.57894736842105,45.454545454545446
"ALL",6450,1300,11232,83.2258064516129,36.47777400746522,50.723497955331865

